band,decl,decl_err,eta_int,extract_type,f_datapoints,f_int,f_int_err,freq_eff,ra,ra_err,runcatid,tau_time,taustart_ts,v_int,xtrsrc
24,27.2498183565,0.162007187242,0.220507175321,1,44,18.5971364937,7.92210476571,58300780.0,197.865382901,0.167022111605,198,1.0,2017-02-25 01:30:53,0.139394882345,14852
23,27.2588632355,0.12114784667,0.189996083377,0,45,20.0014341125,6.36999155214,61816408.0,197.864944543,0.124894088753,198,1.0,2017-02-25 01:30:54,0.121584363095,14948
24,27.2502846646,0.149926071108,0.227338099195,1,45,18.5238242292,7.30185424404,58300780.0,197.865834039,0.154558586941,198,1.0,2017-02-25 01:30:54,0.142361783134,15004
23,27.2750934783,0.115623837327,0.18741379358,0,46,20.3209301623,6.17735121636,61816408.0,197.883114781,0.119233829076,198,1.0,2017-02-25 01:30:55,0.121018935177,15091
24,27.2503633184,0.165719640088,0.240495493285,1,46,16.9797387531,7.39897163273,58300780.0,197.865825884,0.170850555903,198,1.0,2017-02-25 01:30:55,0.147682708161,15142
24,27.2506097452,0.159622718822,0.252726616668,1,47,17.1124435968,7.18215285084,58346356.0,197.865998161,0.164559451163,198,1.0,2017-02-25 01:30:56,0.152233669303,15278
23,27.3029789078,0.130397993261,0.198416944912,0,47,17.0519346108,5.84787155874,61770832.0,197.863225399,0.134533335666,198,1.0,2017-02-25 01:30:56,0.124790800497,15231
24,27.2510167767,0.145226673143,0.258097582204,1,48,18.4318251381,7.03752227288,58300780.0,197.86597661,0.149708207264,198,1.0,2017-02-25 01:30:57,0.154335198216,15420
23,27.323066158,0.128499606649,0.202351782742,0,48,18.046471991,6.09994371539,61816408.0,197.880915558,0.132623601903,198,1.0,2017-02-25 01:30:57,0.126565850457,15371
23,27.3175800856,0.133525705568,0.203687191311,0,49,18.4131390679,6.46723459593,61816408.0,197.881826076,0.137799846323,198,1.0,2017-02-25 01:30:58,0.127670790149,15511
24,27.251588761,0.171929151869,0.291867747539,1,49,14.3717192753,6.49735226199,58346356.0,197.866095207,0.177255596318,198,1.0,2017-02-25 01:30:58,0.163458407758,15560
24,27.2520703795,0.141181243221,0.298626924296,1,50,17.8788193675,6.6360016756,58300780.0,197.866210015,0.145535103421,198,1.0,2017-02-25 01:30:59,0.165637091379,15704
23,27.3459949405,0.128268349753,0.201764803261,0,50,19.5209677747,6.58797601999,61816408.0,197.90914179,0.132443113771,198,1.0,2017-02-25 01:30:59,0.127488781034,15654
24,27.2528072076,0.168277015822,0.307360511588,1,51,16.6769254177,7.37918190873,58300780.0,197.86654681,0.173487680721,198,1.0,2017-02-25 01:31:00,0.169316019513,15847
